time_s,range_m,pursuer_speed_m_s,closing_velocity_m_s,a_cmd_norm_m_s2,a_applied_norm_m_s2,aM_parallel_m_s2,aM_total_norm_m_s2,saturated,guidance_updated
0.0,49638.69458396343,0.1,49.25189956123125,1.44854713436439,1.44854713436439,45.0,45.023308283604344,False,True
0.01,49638.19770326677,0.5501907204597762,49.68805089053504,1.4580920206291785,1.4580920206291785,45.0,45.02361638452226,False,True
0.02,49637.69643775015,1.0002969961605945,50.12653269963345,1.4631954214064118,1.4631954214064118,45.0,45.023781947335614,False,True
0.03,49637.19077585245,1.450370804710494,50.566170635668826,1.4667173385688441,1.4667173385688441,45.0,45.0238965411842,False,True
0.04,49636.68071013231,1.900427404920045,51.0065527165798,1.469440906135224,1.469440906135224,45.0,45.02398534755252,False,True
0.05,49636.16623520634,2.350473337746429,51.447473142970274,1.4716875320859566,1.4716875320859566,45.0,45.02405872633095,False,True
0.06,49635.647346910475,2.8005120070886744,51.88880998325547,1.4736191184091552,1.4736191184091552,45.0,45.02412190488718,False,True
0.07,49635.12404188058,3.250545410167078,52.3304832409429,1.4753281922320702,1.4753281922320702,45.0,45.024177874502,False,True
0.08,49634.59631731438,3.7005748191377124,52.77243673053434,1.4768723937980397,1.4768723937980397,45.0,45.02422850052583,False,True
0.09,49634.06417082397,4.150601094355709,53.21462901310539,1.4782899587519056,1.4782899587519056,45.0,45.02427502139425,False,True
0.1,49633.52760033855,4.600624844899567,53.6570283793831,1.4796074954037328,1.4796074954037328,45.0,45.02431829956401,False,True
0.11,49632.98660403705,5.05064651779857,54.09960985722927,1.4808442334414254,1.4808442334414254,45.0,45.02435895872052,False,True
0.12,49632.441180299604,5.500666450870649,54.54235332066449,1.4820145014427288,1.4820145014427288,45.0,45.02439746384715,False,True
0.13,49631.89132767169,5.950684905640335,54.98524223884646,1.4831292490803019,1.4831292490803019,45.0,45.02443417045325,False,True
0.14,49631.33704483675,6.4007020887187815,55.42826281687142,1.4841970233485182,1.4841970233485182,45.0,45.024469356163614,False,True
0.15,49630.77833059486,6.850718166182016,55.87140338702969,1.485224617484685,1.485224617484685,45.0,45.02450324172809,False,True
0.16,49630.21518384597,7.3007332735305805,56.314653966018,1.4862175156453936,1.4862175156453936,45.0,45.02453600542499,False,True
0.17,49629.64760357627,7.750747522766075,56.75800592552958,1.487180205698142,1.487180205698142,45.0,45.024567793197306,False,True
0.18,49629.075588847205,8.200761007531577,57.20145174236286,1.4881164043032178,1.4881164043032178,45.0,45.02459872594932,False,True
0.19,49628.49913878632,8.65077380691878,57.644984805589516,1.489029222144496,1.489029222144496,45.0,45.02462890490492,False,True
0.2,49627.91825257967,9.100785988336467,58.08859926549476,1.4899212873842418,1.4899212873842418,45.0,45.02465841561267,False,True
0.21,49627.33292946538,9.55079760970509,58.53228991364559,1.4907948393669193,1.4907948393669193,45.0,45.024687330986346,False,True
0.22,49626.743168728215,10.000808721158922,58.97605208652453,1.4916518007522277,1.4916518007522277,45.0,45.02471571364651,False,True
0.23,49626.1489696949,10.450819366382754,59.4198815872584,1.4924938337542548,1.4924938337542548,45.0,45.02474361774638,False,True
0.24,49625.5503317301,10.900829583673422,59.863774621420475,1.4933223844977301,1.4933223844977301,45.0,45.024771090412465,False,True
0.25,49624.94725423297,11.35083940679147,60.307727743905616,1.4941387183718193,1.4941387183718193,45.0,45.02479817289288,False,True
0.26,49624.33973663401,11.80084886565087,60.7517378146107,1.4949439484808227,1.4949439484808227,45.0,45.02482490148184,False,True
0.27,49623.727778392466,12.250857986882394,61.19580196118433,1.495739058742702,1.495739058742702,45.0,45.02485130827028,False,True
0.28,49623.11137899397,12.700866794297445,61.63991754750348,1.4965249227954869,1.4965249227954869,45.0,45.02487742176039,False,True
0.29,49622.4905379484,13.150875309272749,62.08408214682711,1.497302319589216,1.497302319589216,45.0,45.02490326737245,False,True
0.3,49621.86525478801,13.60088355107155,62.52829351879857,1.4980719463344587,1.4980719463344587,45.0,45.024928867866016,False,True
0.31,49621.23552906582,14.050891537113534,62.97254958963759,1.4988344293255365,1.4988344293255365,45.0,45.024954243691695,False,True
0.32,49620.601360354114,14.500899283202939,63.41684843499254,1.4995903330421283,1.4995903330421283,45.0,45.02497941328739,False,True
0.33,49619.962748243044,14.950906803722471,63.8611882650257,1.500340167846467,1.500340167846467,45.0,45.02500439332854,False,True
0.34,49619.319692339435,15.400914111798919,64.30556741138275,1.5010843965273593,1.5010843965273593,45.0,45.02502919894109,False,True
0.35000000000000003,49618.67219226573,15.850921219445341,64.74998431576104,1.501823439891485,1.501823439891485,45.0,45.025053843883484,False,True
0.36,49618.020247658926,16.30092813768369,65.19443751984167,1.5025576815630208,1.5025576815630208,45.0,45.02507834070279,False,True
0.37,49617.36385816971,16.750934876650973,65.63892565638946,1.5032874721218552,1.5032874721218552,45.0,45.02510270086942,False,True
0.38,49616.70302346159,17.200941445691573,66.08344744135862,1.5040131326863626,1.5040131326863626,45.0,45.025126934893734,False,True
0.39,49616.03774321018,17.650947853437867,66.52800166686674,1.5047349580274803,1.5047349580274803,45.0,45.02515105242747,False,True
0.4,49615.368017102446,18.10095410788079,66.97258719492305,1.5054532192854788,1.5054532192854788,45.0,45.02517506235215,False,True
0.41000000000000003,49614.69384483611,18.550960216431886,67.41720295181268,1.5061681663484656,1.5061681663484656,45.0,45.02519897285654,False,True
0.42,49614.01522611904,19.000966185978065,67.86184792305491,1.5068800299417076,1.5068800299417076,45.0,45.02522279150474,False,True
0.43,49613.33216066867,19.450972022929975,68.30652114886438,1.5075890234687799,1.5075890234687799,45.0,45.02524652529604,False,True
0.44,49612.644648211586,19.900977733264963,68.75122172005472,1.5082953446389218,1.5082953446389218,45.0,45.02527018071807,False,True
0.45,49611.95268848292,20.350983322565302,69.19594877433299,1.5089991769095763,1.5089991769095763,45.0,45.025293763793634,False,True
0.46,49611.25628122606,20.800988796052255,69.64070149293954,1.5097006907686272,1.5097006907686272,45.0,45.02531728012261,False,True
