time_s,range_m,pursuer_speed_m_s,closing_velocity_m_s,a_cmd_norm_m_s2,a_applied_norm_m_s2,aM_parallel_m_s2,aM_total_norm_m_s2,saturated,guidance_updated
0.0,49638.69458396343,0.1,49.25189956123125,1.44854713436439,1.44854713436439,45.0,45.023308283604344,False,True
0.01,49638.19770326677,0.5501907204597762,49.68805089053504,1.44854713436439,1.44854713436439,45.0,45.061409898793194,False,False
0.02,49637.69643425377,1.000676871552774,50.12688233774515,1.44854713436439,1.44854713436439,45.0,45.082326660055955,False,False
0.03,49637.19076348842,1.4513399175291055,50.567057399087716,1.44854713436439,1.44854713436439,45.0,45.09672861033939,False,False
0.04,49636.68068224779,1.9021301150447996,51.00810476271171,1.44854713436439,1.44854713436439,45.0,45.107704395546556,False,False
0.05,49636.16618417429,2.3530197404898803,51.44978789349573,1.44854713436439,1.44854713436439,45.0,45.11656778362722,False,False
0.06,49635.64726431756,2.803991045696807,51.891966063592356,1.44854713436439,1.44854713436439,45.0,45.12399878763448,False,False
0.07,49635.123918654084,3.2550316741601155,52.334546592981674,1.44854713436439,1.44854713436439,45.0,45.1303947585665,False,False
0.08,49634.596143813505,3.706132520947783,52.77746415889922,1.44854713436439,1.44854713436439,45.0,45.136007947677705,False,False
0.09,49634.063936908875,4.157286595629674,53.22067042516842,1.44854713436439,1.44854713436439,45.0,45.14100847072436,False,False
0.1,49633.52729542421,4.608488361084001,53.664128290432394,1.4794216447750546,1.4794216447750546,45.0,45.024312192448086,False,True
0.11,49632.98622861905,5.0585099948564505,54.10666020766627,1.4794216447750546,1.4794216447750546,45.0,45.02863639368203,False,False
0.12,49632.44073445768,5.508573128375574,54.54939569721189,1.4794216447750546,1.4794216447750546,45.0,45.03260688242134,False,False
0.13,49631.89081110433,5.9586744927484085,54.992314766786386,1.4794216447750546,1.4794216447750546,45.0,45.03627704505183,False,False
0.14,49631.33645689053,6.408811296346871,55.43540068404374,1.4794216447750546,1.4794216447750546,45.0,45.03968903333414,False,False
0.15,49630.777670289746,6.858981127305781,55.878639257612946,1.4794216447750546,1.4794216447750546,45.0,45.04287670977436,False,False
0.16,49630.21444989717,7.309181880909998,56.32201831291653,1.4794216447750546,1.4794216447750546,45.0,45.04586768716512,False,False
0.17,49629.646794413486,7.759411704398873,56.76552730135837,1.4794216447750546,1.4794216447750546,45.0,45.04868477722155,False,False
0.18,49629.07470263157,8.209668954257378,57.209157003246865,1.4794216447750546,1.4794216447750546,45.0,45.051347042496715,False,False
0.19,49628.498173425505,8.65995216264963,57.652899298109695,1.4794216447750546,1.4794216447750546,45.0,45.05387057517845,False,False
0.2,49627.917205741396,9.110260010671285,58.09674698443554,1.4897634030069078,1.4897634030069078,45.0,45.02465319130108,False,True
0.21,49627.331801601904,9.560271618062961,58.54039240476094,1.4897634030069078,1.4897634030069078,45.0,45.02697333732632,False,False
0.22,49626.74196006829,10.01030591836175,58.984131700505856,1.4897634030069078,1.4897634030069078,45.0,45.02918905676532,False,False
0.23,49626.147680254195,10.460361912654648,59.42795963321025,1.4897634030069078,1.4897634030069078,45.0,45.031309326345365,False,False
0.24,49625.54896132072,10.910438686165257,59.87187145710203,1.4897634030069078,1.4897634030069078,45.0,45.03334201339873,False,False
0.25,49624.945802472124,11.360535398051264,60.31586285478087,1.4897634030069078,1.4897634030069078,45.0,45.03529405141999,False,False
0.26,49624.338202952116,11.81065127278792,60.75992988347917,1.4897634030069078,1.4897634030069078,45.0,45.03717158221941,False,False
0.27,49623.72616204052,12.260785592840834,61.20406892982772,1.4897634030069078,1.4897634030069078,45.0,45.03898007201954,False,False
0.28,49623.10967905039,12.710937692395476,61.64827667152043,1.4897634030069078,1.4897634030069078,45.0,45.040724407024044,False,False
0.29,49622.48875332541,13.16110695195949,62.09255004462127,1.4897634030069078,1.4897634030069078,45.0,45.04240897266532,False,False
0.3,49621.86338423762,13.61129279369106,62.536886215520354,1.4979465399855247,1.4979465399855247,45.0,45.02492469551342,False,True
0.31,49621.233572999736,14.061300772485161,62.98110111662242,1.4979465399855247,1.4979465399855247,45.0,45.02651954226238,False,False
0.32,49620.59931903117,14.511324461416496,63.42537407527744,1.4979465399855247,1.4979465399855247,45.0,45.028064873298746,False,False
0.33,49619.96062177423,14.961363380446414,63.86970280209612,1.4979465399855247,1.4979465399855247,45.0,45.02956366435598,False,False
0.34,49619.31748069266,15.41141707796243,64.31408515953684,1.4979465399855247,1.4979465399855247,45.0,45.03101863083926,False,False
0.35000000000000003,49618.66989527013,15.861485128325853,64.75851914779969,1.4979465399855247,1.4979465399855247,45.0,45.03243225732818,False,False
0.36,49618.01786500907,16.311567129693707,65.20300289238779,1.4979465399855247,1.4979465399855247,45.0,45.033806823015404,False,False
0.37,49617.36138942954,16.761662702077572,65.64753463309906,1.4979465399855247,1.4979465399855247,45.0,45.03514442373481,False,False
0.38,49616.70046806814,17.21177148560799,66.09211271425042,1.4979465399855247,1.4979465399855247,45.0,45.03644699111391,False,False
0.39,49616.035100477064,17.661893138977984,66.53673557596773,1.4979465399855247,1.4979465399855247,45.0,45.03771630928898,False,False
0.4,49615.36528622322,18.112027338043056,66.98140174640193,1.5053618384236056,1.5053618384236056,45.0,45.025172007051594,False,True
