time_s,range_m,pursuer_speed_m_s,closing_velocity_m_s,a_cmd_norm_m_s2,a_applied_norm_m_s2,aM_parallel_m_s2,aM_total_norm_m_s2,saturated,guidance_updated
0.0,49638.69458396343,0.1,49.25189956123125,0.03972867731496484,0.03972867731496484,45.0,45.000017537416596,False,True
0.01,49638.19773717448,0.5500001434879632,49.68466008587327,0.03972867731496484,0.03972867731496484,45.0,45.00004623498517,False,False
0.02,49637.69656220379,1.0000005093821642,50.117478008354865,0.03972867731496484,0.03972867731496484,45.0,45.00006201862564,False,False
0.03,49637.19105874006,1.4500010086210187,50.55032705694763,0.03972867731496484,0.03972867731496484,45.0,45.000072903881616,False,False
0.04,49636.681226571476,1.9000016038221046,50.98319728797969,0.03972867731496484,0.03972867731496484,45.0,45.000081211042,False,False
0.05,49636.16706553843,2.3500022741412323,51.41608347238824,0.03972867731496484,0.03972867731496484,45.0,45.00008792746344,False,False
0.06,49635.64857551365,2.8000030062275463,51.84898238422292,0.03972867731496484,0.03972867731496484,45.0,45.000093564455476,False,False
0.07,49635.12575639172,3.250003790781338,52.28189183367372,0.03972867731496484,0.03972867731496484,45.0,45.00009842093741,False,False
0.08,49634.59860808308,3.700004620946768,52.71481023611937,0.03972867731496484,0.03972867731496484,45.0,45.00010268676333,False,False
0.09,49634.06713051018,4.15000549145774,53.14773639102007,0.03972867731496484,0.03972867731496484,45.0,45.0001064900275,False,False
0.1,49633.53132360488,4.6000063981411365,53.58066935680352,0.04609605310120674,0.04609605310120674,45.0,45.00002360939504,False,True
0.11,49632.99118715558,5.05000641917919,54.01362347925019,0.04609605310120674,0.04609605310120674,45.0,45.00002781700336,False,False
0.12,49632.44672109374,5.500006480572058,54.44658445475942,0.04609605310120674,0.04609605310120674,45.0,45.00003168035277,False,False
0.13,49631.89792535718,5.950006579137513,54.87955164216811,0.04609605310120674,0.04609605310120674,45.0,45.00003525151597,False,False
0.14,49631.34479988923,6.400006712159142,55.31252449617108,0.04609605310120674,0.04609605310120674,45.0,45.00003857158157,False,False
0.15,49630.78734463789,6.850006877290919,55.74550254706804,0.04609605310120674,0.04609605310120674,45.0,45.00004167354045,False,False
0.16,49630.225559555234,7.3000070724862285,56.17848538583874,0.04609605310120674,0.04609605310120674,45.0,45.00004458428245,False,False
0.17,49629.65944459695,7.750007295943929,56.61147265290265,0.04609605310120674,0.04609605310120674,45.0,45.000047326013394,False,False
0.18,49629.08899972194,8.200007546066663,57.04446402949228,0.04609605310120674,0.04609605310120674,45.0,45.00004991728323,False,False
0.19,49628.51422489191,8.650007821428092,57.47745923092264,0.04609605310120674,0.04609605310120674,45.0,45.000052373746875,False,False
